zoo|动物园
zoology|动物学
zero|零的
zebra|斑马
zap|电击
zip|拉链
zone|分区
zoom|放大，一个国外的会议软件
zinc|元素周期表的第30个，鋅，缩写Zn
zirconium|元素周期表的第40个，鋯，缩写Zr
zealand|西兰
zealands|西兰
zealandic|西兰的
zealandicly|西兰地
zipper|拉链
zeal|热情
zigzag|曲折的
zoologist|动物学家
zagros|扎格罗斯山脉[伊朗西南部]
ziggurat|古代亚述及巴比伦之金字形神塔(顶上有神殿)
zealous|热心的
zest|趣味
z|[计] 阻抗, 零, 零标志
zum|(Zum)人名；(西)苏姆；(希)朱姆
zus|zusammen (German=together) （德语）一起
zdnet|Ziff-Davis出版公司
zimbabwe|津巴布韦
zones|区域；尺度, 地带（zone的复数）
zoophilia|[精神病] 嗜兽癖, 动物爱好
zambia|赞比亚
za|南非
zoning|分区制
zen|禅宗
zu|巴比伦神话中的风雨神
zoloft|左洛复（药物名）
zoogony|胎生
zenana|闺房, 女用薄衣料
zoetic|有生命的, 有生气的
zoons|发育完全的个体( zoon的第三人称单数 )
zooparasite|寄生动物
zoonal|发育完全的个体
zapped|杀死某人( zap的过去式和过去分词 ); 将某人打昏, 攻击某人; （沿某方向）突然或迅速移动
zingari|金加利人；吉普赛人（Zingaro的复数形式）
zesty|强烈的兴趣, 热心, 热忱, 热情, 滋味, 风趣, 香味, 风味
ziggurats|(ziggurat 的复数) n.古代亚述及巴比伦之金字形神塔(顶上有神殿)
ziti|[单复同]n.意大利通心面(包括通心粉等)
zymoscope|发酵力计
zoomorphism|神像兽形化, 动物造形
zesting|滋味( zest的现在分词 ); 风味; 香味; 热情nighty-night
zills|[复]n.(在跳摆腹舞时用圈圈套在大拇指和食指上用以敲击节拍的) 一对金属圆片
zippier|(zippy 的比较级) a. 元气旺盛的, 敏捷的, 活泼的
zeilanite|铁镁尖晶石
zayin|希伯来文第七个字母
zootaxy|动物分类学
zambomba|桑梆巴(一种西班牙乐器)
zoobenthos|底栖动物
zealously|(正式)热心, 渴望, 积极, 热诚, 热情
zeist|[医] 玉米中毒论者
zag|急转, 急变
zeiss|蔡司透镜
zenocentric|[天]木星中心的
zebrass|斑驴
zeppelins|齐柏林硬式飞艇
zonula|[医] 小带
zagged|(zag 的过去时) n.急转, 急变
zygapophyses|椎骨之关节突( zygapophysis的名词复数 )
zags|(zag 的复数) n.急转, 急变
zopilote|[地名] [洪都拉斯、墨西哥] 索皮洛特
zoophagan|[动]食肉动物
zygogenesis|[生]合子形成
zoosporic|zoospore的变形
zapateado|踏足舞
zygion|颧点
zoarces|[网络] 绵鳚属；绵绷
zooglea|[医] 菌胶团
zinco|锌版
zoography|动物志, 动物地理学
zebu|瘤牛
zinkify|包锌, 镀锌
zucchinis|夏季产南瓜之一种( zucchini的名词复数 )；(US) N [C/U] 绿皮密生西葫芦 [英=courgette]
zoophysics|动物物理学
zel|zero-length launcher 零距离发射器
zoneless|无分区的, 无束带的
zaftig|身体丰满而富曲线美的, 身段漂亮的
zoonosology|[医] 动物疾病分类学
zincify|在...上镀锌, 在...中加锌, 在...上包锌
zebroid|斑马的, 像斑马的
zoogeny|动物发生论[构成论]
zanily|愚蠢可笑, 笨, 荒唐, 好笑, 滑稽
zeatin|[生化]玉米素
zymic|酶的, 酵母的
zoomimic|(工具等)模仿动物行动的
zapodidae|林跳鼠科
zemstvo|地方自治组织
zootomical|动物解剖学, 动物解剖
zygomorphic|两侧对称的
zootype|动物模式
zugzwang|迫移
zehner|[人名] 泽纳
zionists|犹太复国运动的支持者或拥护者( Zionist的复数形式 )
zat|that 那，那个（代号）; zinc atomspheric tracer 锌大气跟踪器
zoysia|[植]结缕草
zant|[医]对氯间二甲酚（消毒药）
zemindary|(印度)地主拥有的土地管辖制
zooecium|[动]虫室, 虫胞
zincite|红锌矿
zinnwaldite|铁锂云母
zona|[医] 带, 区; 带状疱疹
zeniths|顶点, 极点( zenith的名词复数 )
zymurgy|酿造学
zaibatsu|财阀
zeta|希腊语第六个字母
zoantharia|花珊瑚类, 六放珊瑚类
zoster|带状疱疹, 带
zygophore|[植]接合菌囊柄, 接合子梗
zoofulvin|[医] 鸟羽黄色素
zygostyle|合柱
zebulun|西布伦（雅各的第六个儿子）；泽布伦（男子名）
zoroaster|琐罗亚斯德, 古代波斯国国教拜火教之祖
zygomycete|接合菌
zechin|古代金币, 小金属片
zeugmatic|轭式搭配法的
zaman|[网络] 曼人；时代报；萨曼
zapateo|西班牙舞蹈的一种
zoftig|(=zaftig)adj.丰满的, 性感的
zonta|职业妇女的互助福利俱乐部
zenick|[人名] 泽尼克
zanies|滑稽的；古怪的；愚蠢的
zibeline|黑貂的, 黑貂皮做的
zande|[地名] [比利时] 赞德
zac|扎克（男子名）
zonally|地带地；区域地
zymosis|发酵, 发酵作用, 发酵病
zannichellia|[网络] 角果藻属
zootoxin|动物性毒素
zoonerythrin|[医] 动物红素, 甲壳红素
zaire|扎伊尔
zenith|顶点；最高点；顶峰
zodiacs|(zodiac 的复数) n. 黄道带, 黄道十二宫图
zephyrus|西风的拟人格(希腊人认为西风是森林诸神中最温柔者)
zloty|兹罗提(波兰货币单位)
zested|滋味( zest的过去分词 ); 风味; 香味; 热情nighty-night
zygapophysis|脊椎关节突
zineb|[化]代森锌(一种农业用有机硫杀菌剂)
zoodynamic|[医] 动物动力学, 动物生理学的
zaglossus|[网络] 原针鼹属；长吻针鼹属
zoarium|[动]苔藓虫硬体, 合体
zoanthidea|六放珊瑚目
zoccolo|座石, 柱脚
zanjon|深沟
zincograph|锌版, 锌版印刷品
zymoid|酵母的, 像酵母或酵素的
zoografting|动物质移植术
zymophore|[生化]酶活性部位
zippeite|水铀矾
zoomorph|(绘画,雕刻之)动物形状物体[作品]
zante|桑特岛
zincs|<化>锌( zinc的名词复数 )
zygodactyl|对趾的
zephyrs|(zephyr 的复数) n. 西风, 和风, 徐风
