xenon|元素周期表的第54个，氙，缩写Xe
xeric|干旱的
xerophytes|旱生植物
xerically|干旱地
xerox|用静电复印
x-ray|X射线
x|未知数
xml|可扩展标示语言（Extensive Makeup Language）
xxx|num. 罗马数字30
xbox|微软游戏机
xp|加快费已付（Express Paid）；运用优先权（Exercise Priority）
xx|血型（xue xing, 汉语拼音）
xhtml|扩展超文本标识语言（The Extensible HyperText Markup Language）；结构层代码
xl|特大号（extra large）
xanax|阿普唑仑（药名）；赞安诺；相呐斯（镇静剂）；性药名
xi|希腊字母的第14个字母；粒子（等于xi particle）
xenia|[医] 种子直感
xerantic|除湿的, 使干燥的
xerocline|旱坡
xylon|木质, 木纤维
xeromorphy|旱性形态植物
xmas|圣诞节
xenophile|喜爱外国人及其文物者, 亲外者
xylotrya|穿木属
xylocopa|[网络] 木蜂属
xerus|[医]干毛地松鼠
xerophyte|旱生植物
xanthophane|视网膜黄素
xiii|num. 罗马数字 13
xanthochroi|pl. 白色人种
xerophytism|适旱性, 喜旱性
xanthan|黄原胶（增稠剂和稳定剂在食品工业, 医学和药学领域）
xxiv|[网络] 八乡乡事委员会；锦田乡事委员会
xenolite|重夕线石
xyz|坐标轴；未知数
xanthoderm|[医] 黄肤者, 黄种人
xylitol|[化]木糖醇
xerophagy|[宗](东派教会尊奉的)严斋
xyloyl|(=dimethylbenzoyl)二甲苯酰
xeroprinting|[电] 干式印刷
xanthosis|黄肤症, 黄变病
xxii|num. 罗马数字 22
xanthamide|[医] 黄原酰胺
xerotes|[医] 干燥
xyloid|木质的, 似木质的
xyphoid|剑状软骨, 剑状突起
xebec|三桅小帆船
xeransis|干燥, 除湿
xanthyl|(=xanthenyl)吨基, 氧(杂)蒽基
xylocarp|木质果
xenobiology|外(层)空(间)生物学,宇宙生物学
xylophage|[罕]食木虫
xenobiosis|宾主共栖
xyst|门廊, 林木夹道
xanthism|黄色素过多症
xanthines|(xanthine 的第三人称 -s形式) n. 黄质, 黄嘌呤
xylophagous|食木的, 蚀木的, 蛀木的
xeme|[鸟]北极鸥
xylographer|木刻者
xystus|古希腊室内运动场
xoanon|木雕神像
xiphosura|剑尾类动物
xylem|木质部
xanthane|苍耳烷
xylographic|木刻的, 木版的, 木版画的
xylobalsamum|(吉利亚德产的)香树脂
xerasia|[医]干发病
xylotomist|木材解剖学家
xanthoxenite|黄磷铁钙矿
xanthaline|(=papaveraldine)鸦片黄, 罂粟酮碱
xenophobia|无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
xerophil|旱生植物
xanthation|黄原酸化作用, 黄化
xonotlite|硬硅钙石
xenarthra|异关节类
xeroma|[医] 干性眼炎, 干眼病
xenylamine|苯基苯胺
xerophobous|[植]避旱的
xanthelasma|[医]黄斑瘤
xeroxes|(xerox 的复数) vt. 静电复印
xenosaurus|[网络] 细长墨西哥蜥蜴
xylonite|(英)赛璐珞, 假象牙
xenolithic|xenolith的变形
xenomania|外国迷, 外国狂
xylotomous|能钻木的, 有蚀木能力的
xylariaceae|[网络] 炭角菌科；炭棒科；鹿角菌科
xeranthemum|一年生灰毛菊
xylic|木质部的； 二甲苯甲酸的
xviii|num. 罗马数字 18
xiphopagus|[医] 剑突联胎
xerodermatic|[医] 干皮病的, 皮肤干燥的
xenoblast|他形变晶
xenotime|[矿]磷钇矿
xanthite|黄符山石
xenoparasite|异常寄生物
xyloma|菌核荚
xiphydriidae|长颈树蜂科
xanthopicrin|秦椒黄
