new|新的
need|需要
night|夜晚
nine|九
number|数字
no|不
name|名字
newspaper|报纸
nurse|护士
next|下一个
news|新闻
nucleus|细胞核
nitrogen|氮
network|网络
nutrition|营养
nerve|神经
notebook|笔记本
negotiate|谈判
naked|裸体的
narrow|狭窄的
native|本地的
natural|自然的
near|近的
nearby|附近的
neat|整洁的
necessary|必要的
negative|消极的
neither|两者都不的
nervous|紧张的
neutral|中立的
nice|好的
noble|高贵的
noisy|吵闹的
normal|正常的
northern|北方的
notable|显著的
noted|著名的
novel|新颖的
nuclear|核的
numerous|众多的
noodle|面条
nut|坚果
neck|脖子
nose|鼻子
noon|中午
nature|自然
nag|唠叨
nail|钉
nap|小睡
narrate|叙述
navigate|导航
neglect|忽视
nest|筑巢
net|网
neutralise|中和
nibble|小口吃
nick|刻痕
nudge|轻推
neon|元素周期表的第10个，氖，缩写Ne
nickel|元素周期表的第28个，鎳，缩写Ni
niobium|元素周期表的第41个，鈮，缩写Nb
neodymium|元素周期表的第60个，釹，缩写Nd
neptunium|元素周期表的第93个，錼，缩写Np
nobelium|元素周期表的第102个，鋩，缩写No
nihonium|元素周期表的第113个，鉨，缩写Nh
naturally|自然地
naturalist|自然主义者
newness|新颖
newly|新近地
networked|联网的
networkwise|网络方式地
nutritional|营养的
nutritionally|营养地
nutrify|使营养
nocturnal|夜行的
nocturnals|夜行生物
nocturnally|夜行地
natives|本土物种
natively|本土地
niche|生态位
niches|生态位
niched|生态位的
nichedly|生态位地
nepal|尼泊尔
nepals|尼泊尔
nepalese|尼泊尔的
nepalesely|尼泊尔地
nigeria|尼日利亚
nigerias|尼日利亚
nigerian|尼日利亚的
nigerianly|尼日利亚地
netherlands|荷兰
norway|挪威
norways|挪威
norwegian|挪威的
norwegianly|挪威地
nauru|瑙鲁
naurus|瑙鲁
nauruan|瑙鲁的
nauruanly|瑙鲁地
nairobi|内罗毕
nairobis|内罗毕
nairobiily|内罗毕地
nukualofa|努库阿洛法
nukualofas|努库阿洛法
nukualofan|努库阿洛法的
nukualofanly|努库阿洛法地
negotiation|谈判
notary|公证
nightmare|噩梦
narrative|叙述
national|国家的
nominee|被提名人
novice|新手
notice|注意
notification|通知
needle|针
notepad|便签本
neutron|中子
namely|即
nasty|令人讨厌的
naval|海军的
navigation|导航
navy|海军
necessity|必要性
neighbor|邻居
nevertheless|然而
nod|点头
nominate|提名
nonetheless|尽管如此
norm|规范
notion|概念
notorious|臭名昭著的
nowadays|如今
nursery|托儿所
notes|笔记
nothing|没有什么
now|现在
never|从不
needs|需要
ninth|num
numbers|数字
not|不
nearly|几乎
needed|需要
non|prefix
neighborhood|附近
notably|显著地
needy|贫穷的
nutritious|有营养的
notoriously|臭名昭著地
neutrality|中立
normalization|正常化
narration|叙述
nun|修女
novelty|新颖
nought|无
negligible|微不足道的
notify|通知
nourish|提供养分
numerical|数字的
nourishment|食物
neighbouring|邻近的
notwithstanding|尽管
nickname|绰号
napkin|餐巾（纸）
notation|记号
necessitate|vt. 成为必要
nominal|名义上的
nurture|n&vt. 养育
nil|无
naive|幼稚的
nuisance|讨厌的人
noun|名词
nation|国家
north|北
noise|[环境] 噪音
november|十一月
northwest|西北的
nephew|侄子
naughty|顽皮的
noticeable|显而易见的
northeast|东北的
negro|黑人 adj. 黑人的
niece|外甥女
nylon|尼龙
necklace|项链
nineteen|num. 十九
nationality|国籍
numb|使麻木
nowhere|任何地方都不
nonsense|胡说
nostalgic|怀旧的
neighbourhood|邻居
note|便条
nutrient|营养品 adj. 营养的
nor|也不
nestling|尚未离巢的小鸟
neanderthal|穴居人的
nile|尼罗河
none|决不
neolithic|新石器时代的
nouveau|新近到达的
nitinol|[冶]镍钛诺(镍和钛的非磁性合金)
nestle|依偎
nomadism|游牧
neonate|初生婴儿
naturalistic|自然的
northeastern|东北方的
nighttime|夜间
nebula|星云
novelist|(长篇)小说家
newborn|婴儿
navigational|导航的
neptune|[天]海王星
nevada|内华达州(美国西部内陆州)
narrator|讲述者
navigator|航海家
nontraditional|非传统的
nss|卫星导航系统(供氮系统)
nomadic|游牧的
nonhuman|非人类的
naturalism|自然主义
noticeably|显著地
nystatin|[微]制霉菌素
needlework|刺绣
navigable|可航行的
newcomer|新来的人
neurotransmitter|[生化]神经传递素
nodule|节结
necrosis|坏死
neutralize|压制
nebular|[天]星云的
nectar|[希神] 神酒
nitric|[化]氮的
needlefish|[动] 颌针鱼(一种长嘴便鳞之海鱼)
nonagricultural|非农业的
nomad|游牧部落的人
neuron|[解]神经细胞
neurospora|[微]脉孢菌
noxious|有害的
nowcasting|预告
ninety|九十
nutritive|营养的 n. 营养物
nonfiction|非小说的散文文学
nonstop|不断的
nonself|(有机体的)异物
narcotic|麻醉药
narcosis|昏迷状态
notch|槽口
neoclassical|新古典主义的
nonthreatening|非胁迫的
nobility|高贵
nonfunctional|不运行的
netherland|荷兰
nonporous|无细孔的
nonproductive|非生产性的
nobody|无人
nitrate|[化]硝酸盐
nucleic|核的
nursing|看护
neatness|整洁
nonnative|非本地的
nationalistic|国家主义的
needlelike|针状的
northward|向北 adj. 向北的
neurilemmal|神经膜的
neuroglia|[解]神经胶(质)
newscast|<美>新闻广播
needless|不需要的
nevus|[医]痣
noisily|吵闹地
nozzle|管口
nonelectronic|非电子的
nationwide|全国性的
nearness|靠近
nonconformity|不信奉国教
nonessential|非本质的
nationally|全国性地
nationalism|民族主义
newsworthy|有报导价值的
numeral|数字
nonliving|无生命的
norman|法国诺曼第人(的)
nostril|鼻孔
nonconformist|不信奉英国国教的 n非国教徒
negate|否定
northerner|北国人
negligibly|可忽略不计地
newberry|纽伯里
nonchalant|若无其事的
nutritionist|营养学家
narrower|有限的
nostalgia|乡愁
narrowly|勉强地
nonverbal|非语言的
newsprint|新闻纸
nimble|敏捷的
nude|裸体的
newsletter|时事通讯
negligent|忽略的
noteworthy|显著的
nosy|爱管闲事的
numeric|数字的
normally|通常地
notate|以符号表示
nicotine|尼古丁
nauseous|恶心的
n|[计] 负的, 数, 编号, 纳
nov|十一月（November）
ny|纽约
names|名字；名望（name的复数形式）
networks|网络；广播电视网（network的复数形式）
nokia|诺基亚（财富500强公司之一）
networking|[计] 连网, 建网
na|北美洲, 国立研究院院士, 国立研究院, 国民军
nc|北卡罗来纳
named|被指名的, 指定的
nj|新泽西（New Jersey）
newsletters|时事通讯(newsletter的复数
ne|原姓...的, 原名...的
nations|国家（nation的复数）
nt|[医] 氡, 镭射气(86号元素)
null|无效力的, 无效的, 无价值的
nm|[计] 纳米, 毫微米
nd|北达科地
newest|最新
nh|不吸湿的（nonhygroscopic）；全日空航空公司；美国地名, 新罕布什尔（New Hampshire）
node|节, 结节, 瘤
nights|每夜, 在任何夜晚
nebraska|[经] 内布拉斯加州, (美国中西部的一州)
nfl|（美）全国橄榄球联盟（National Football League）
nw|[电] 十亿分之一瓦
nasa|国家航空和宇宙航行局(美国)
notices|条款；启事；通知函（notice的复数）
newspapers|报纸, 报章（newspaper的复数）
nintendo|任天堂
nv|[电] 十亿分之一伏
notebooks|笔记簿( notebook的复数形式 ); 笔记本计算机, 笔记本电脑
nr|天然橡胶（Natural Rubber）；水平调节控制
necessarily|必然地, 必须地, 必要地
nl|[计] 换行, 无标号
nba|全美篮球协会（National Basketball Association）
nz|[计] 非零
nelson|(摔跤用语)肩下握颈
nsw|（澳大利亚）新南威尔士（New South Wales）
nearest|最近的（near的最高级）
nashville|那什维尔（美国田纳西州首府）
nova|新星
nec|日本电气公司
nikon|尼康牌照相机
nancy|女性化的男人
ns|[计] 毫微秒, 纳秒
nipples|乳头( nipple的复数形式 ); <美>（奶品的）橡皮奶头; （机器上的）乳头状注油口; 加油嘴
noticed|注意（ notice的过去式和过去分词 ）; 觉察
