tree|树
teacher|老师
tea|茶
time|时间
today|今天
tomorrow|明天
two|二
three|三
ten|十
thousand|千
thank|谢谢
table|桌子
train|火车
television|电视
tablet|平板电脑
technology|技术
tired|累的
thirsty|渴的
true|真实的
try|尝试
teach|教
test|测试
travel|旅行
trip|旅行
talent|天赋
temperature|温度
theory|理论
trash|垃圾
towel|毛巾
toothbrush|牙刷
toothpaste|牙膏
treatment|治疗
therapy|疗法
transportation|交通
traffic|交通
tunnel|隧道
ticket|票
textbook|教科书
tuition|学费
take|拿
talk|谈话
tear|撕裂
telephone|打电话
tell|告诉
tempt|诱惑
threaten|威胁
throw|扔
touch|触摸
translate|翻译
treat|对待
trust|信任
turn|转动
type|打字
tall|高的
temporary|暂时的
tense|紧张的
terrible|可怕的
terrific|极好的
thankful|感激的
theoretical|理论的
thick|厚的
thin|薄的
third|第三的
thorough|彻底的
thoughtful|体贴的
tight|紧的
tiny|微小的
tough|艰难的
toxic|有毒的
traditional|传统的
transparent|透明的
tremendous|巨大的
trivial|微不足道的
tropical|热带的
troubled|麻烦的
typical|典型的
translator|翻译
tomato|番茄
tiger|老虎
turtle|乌龟
temple|寺庙
theater|剧院
taxi|出租车
truck|卡车
tie|领带
trousers|裤子
teeth|牙齿
tongue|舌头
thought|思想
truth|真理
tabulate|制表
tackle|处理
taint|污染
tame|驯服
tangle|缠结
tap|轻敲
taste|品尝
tease|取笑
terminate|终止
terrify|使恐惧
thaw|解冻
theft|盗窃
theorise|理论化
thicken|变厚
think|思考
thrive|繁荣
thrust|推
thump|重击
tick|滴答
tidy|整理
tighten|收紧
tilt|倾斜
tinge|染色
tinkle|叮当作响
tire|使疲劳
toss|抛
toughen|使坚韧
tour|旅游
trace|追踪
track|跟踪
trade|交易
transfer|转移
transform|转变
transmit|传输
transport|运输
trap|陷阱
tread|踩
tremble|颤抖
trick|欺骗
trigger|触发
trim|修剪
triple|三倍
triumph|胜利
trouble|麻烦
trout|鳟鱼
trudge|跋涉
tuck|塞进
tumble|翻滚
tune|调音
turf|草皮
twist|扭曲
titanium|元素周期表的第22个，鈦，缩写Ti
technetium|元素周期表的第43个，鍀，缩写Tc
tin|元素周期表的第50个，錫，缩写Sn
tellurium|元素周期表的第52个，碲，缩写Te
terbium|元素周期表的第65个，鋱，缩写Tb
thulium|元素周期表的第69个，銩，缩写Tm
tantalum|元素周期表的第73个，鉭，缩写Ta
tungsten|元素周期表的第74个，鎢，缩写W
thallium|元素周期表的第81个，鉈，缩写Tl
thorium|元素周期表的第90个，釷，缩写Th
tennessine|元素周期表的第117个，鿬，缩写Ts
thoughtfully|深思熟虑地
truly|真正地
talkatively|健谈地
teachable|可教的
teachably|可教地
thankfully|感谢地
traveledly|旅行地
talkative|健谈的
teaching|教学
thanks|感谢
traveled|旅行过的
theoretically|理论上地
theorize|理论化
tradeable|可贸易的
tradeably|可贸易地
technological|技术的
technologically|技术上地
technologize|技术化
treatable|可治疗的
treatably|可治疗地
therapize|治疗
therapeutic|治疗的
therapeutically|治疗地
theatrical|戏剧的
theatrically|戏剧地
theatricalize|戏剧化
traditionally|传统地
traditionalize|使传统化
tradition|传统
transcribe|转录
transcription|转录
transcriptive|转录的
transcriptively|转录地
translation|翻译
translational|翻译的
translationally|翻译地
tropics|热带
tropically|热带地
temperate|温带的
temperateness|温带性
temperately|温带地
terrestrial|陆生的
terrestrials|陆生生物
terrestrially|陆生地
threatened|受威胁的
threats|威胁
threatenedly|受威胁地
trophic|营养的
trophics|营养级
trophically|营养地
turkey|土耳其
turkeys|土耳其
turkish|土耳其的
turkishly|土耳其地
thailand|泰国
thailands|泰国
thai|泰国的
thailily|泰国地
tanzania|坦桑尼亚
tanzanias|坦桑尼亚
tanzanian|坦桑尼亚的
tanzanianly|坦桑尼亚地
tunisia|突尼斯
tunisias|突尼斯
tunisian|突尼斯的
tunisianly|突尼斯地
tonga|汤加
tongas|汤加
tongan|汤加的
tonganly|汤加地
tahiti|塔希提
tahitis|塔希提
tahitian|塔希提的
tahitianly|塔希提地
tokyo|东京
tokyos|东京
tokyoly|东京地
thimphu|廷布
thimphus|廷布
thimphuly|廷布地
tehran|德黑兰
tehrans|德黑兰
