old|旧的
one|一
organism|有机体
ocean|海洋
oxygen|氧
obey|服从
observe|观察
obtain|获得
occur|发生
offer|提供
open|打开
operate|操作
order|命令
organize|组织
own|拥有
objective|客观的
obvious|明显的
occasional|偶尔的
odd|奇怪的
official|官方的
okay|好的
olympic|奥运的
only|唯一的
operational|操作的
opposite|相反的
optimistic|乐观的
oral|口头的
ordinary|普通的
organic|有机的
original|原始的
other|其他的
our|我们的
outdoor|户外的
outer|外部的
outside|外部的
outstanding|杰出的
overall|总体的
overdue|过期的
overseas|海外的
olive|橄榄
onion|洋葱
orange|橙子
owl|猫头鹰
office|办公室
opinion|意见
opportunity|机会
object|反对
oblige|迫使
obstruct|阻塞
offend|冒犯
officiate|主持
oppose|反对
optimise|优化
organise|组织
orient|定位
originate|起源
ornament|装饰
oscillate|振荡
outgrow|长得太大
outlast|比...持久
outline|概述
outrun|超过
overcome|克服
overdo|过度
overhear|无意中听到
overlap|重叠
overlook|忽视
override|推翻
oversee|监督
overthrow|推翻
overturn|推翻
overwhelm|压倒
owe|欠
osmium|元素周期表的第76个，鋨，缩写Os
oganesson|元素周期表的第118个，鿫，缩写Og
oldness|陈旧
oldly|老式地
obedience|服从
obedient|服从的
obediently|服从地
openness|开放
organization|组织
organized|有组织的
organizedly|有组织地
ownership|所有权
openly|公开地
organisms|生物体
organically|有机地
omnivorous|杂食的
omnivores|杂食动物
omnivorously|杂食地
oceania|大洋洲
oceanias|大洋洲
oceanian|大洋洲的
oceanianly|大洋洲地
oslo|奥斯陆
oslos|奥斯陆
oslooly|奥斯陆地
obsession|强迫症
orchestra|管弦乐队
offense|进攻
obstacle|障碍
operation|运营
optimization|优化
outcome|结果
option|选项
opponent|对手
outlook|前景
optimism|乐观
observation|观察
optic|视觉的
orbit|轨道
outskirts|郊区
overpass|天桥
oil|油
obligation|义务
occupation|职业
offensive|冒犯的
offset|抵消
ongoing|进行中的
otherwise|否则
outlet|出口
output|输出
outset|开始
overtake|超过
overview|概述
owner|所有者
online|在线的
opinions|意见
opportunities|机会
on|在…上
owners|所有者
often|经常
opera|歌剧
offers|提供
off|离开
ones|人
others|其他人
or|或者
out|向外
of|…的
obesity|肥胖
once|一次
ourselves|我们自己
options|选择
over|在…上方
oh|interj
organizations|组织
older|更老的
overexcited|过于激烈的
outdated|过时的
outnumber|超过
outlive|比……活的时间长
outweigh|超过
overestimate|高估
opposition|反对
overstate|夸张
obscurity|默默无闻
overcharge|多收钱
outperform|胜过
overwhelming|压倒性的
outsource|外包
odds|可能性
outermost|最外面的
optimum|最优的
ornamental|装饰的
obscure|无名的
oxide|氧化物
oxidize|氧化
opium|鸦片
overhang|悬于…之上
orientation|定位
ordinarily|通常
outlaw|逃犯
oath|誓言
occurrence|发生的事
overload|使超载
ohm|欧姆
oyster|牡蛎
oval|卵形的 n. 卵形
oar|桨
orchard|果园
optical|光的
obstinate|固执的
offence|犯罪
offspring|儿女
overflow|从…中溢出
opaque|不透明的
ought|早应该
outbreak|（战争、愤怒等）爆发
ozone|臭氧
orthodox|传统的
outcry|大声疾呼
outward|向外地 adj. 外面的
oriental|东方的
outfit|全套服装
overt|公开的
odor|气味
occupy|vt. 占领
obscene|淫秽的
origin|起源
oak|栎树
outrage|义愤
oppress|vt. 压迫
ore|矿
overhead|在头顶上 adj. 在头顶上的
objection|反对
obsolete|已废弃的
overtime|超时工作
officer|官员
orderly|整齐的
opening|开始
operator|经营者
organ|[生物] 器官
optional|可选择的
oneself|自己
overcoat|大衣
october|[天] 十月
ox|牛
orphan|孤儿的
occasion|时机
obstruction|障碍
oven|炉
overnight|通宵
opt|选择
owing|未付的
ounce|盎司
overhaul|彻底检修
odour|气味
outing|远足
organisation|组织
omit|vt. 省略
obsidian|[矿]黑曜石
ogallala|奥加拉拉(美国地名)
onto|在之上
opportunist|机会主义者
occasionally|有时候
originally|最初
oceanic|海洋的
outflow|流出(物)
ohio|俄亥俄州(美国州名)
obviously|明显地
orchid|兰花
orleans|奥尔良[法国]
offshore|离岸的
oversea|外国的
observer|观测者
oregon|俄勒冈州(美国州名)
overcast|遮盖
ooze|软泥 v渗出
otter|水獭
oliver|脚踏铁槌
outwork|外包活
outgoing|外向的
overirrigation|过量灌溉
osprey|白色的羽毛
organizational|组织的
overlie|躺在上面
oklahoma|俄克拉荷马州
oppositely|相反地
overgraze|使过度放牧
overly|过度地
officially|职务上
optimal|最理想的
ornamentation|装饰
outsider|外行
orbital|轨道的
olfactory|嗅觉的
occupational|职业的
onset|开始
objectively|客观地
originator|创始人
ornate|华丽的
overcrowd|过度拥挤
opportunistic|机会主义的
octopus|章鱼
overshadow|遮蔽
originality|独创性
outlying|远离中心的
onrushing|猛冲的
orogeny|[地] 山岳之形成
outwash|[地质]冰水沉积
ontario|安大略湖[北美洲]
oceanographer|海洋学者
orchestral|管弦乐的
oneness|单一
onward|向前的 adv. 向前
objectify|使客观化
ocher|黄土
obliterate|涂去
overtax|课税过重
oceanography|海洋学
outbuilding|[建]外屋
observatory|天文台
oystercatcher|〈动〉蛎鹬
offshoot|分支
overcultivation|耕种过度
ostracize|(古希腊)贝壳放逐法
overgeneralize|太笼统地概括
outgassing|除气 v除气 a释气的
overrun|泛滥成灾 v超过
overkill|过度的杀伤威力 v. 超量杀伤
outskirt|外边
overconfident|自负的
oceanographic|海洋学的
overgrow|长满
outrigger|(承力外伸)支架
oxfordshire|牛津郡[英国]
outcrop|露出地面的岩层
onslaught|冲击
ordinance|法令
overbalance|失去平衡
overproduction|生产过剩
outwit|瞒骗
overprint|vt& n. 套印
overwhelmingly|压倒性地
oily|油的
optometrist|验光师
ostrich|鸵鸟
oilskin|油布
overburden|装载过多
onlooker|旁观者
onstage|台上的
oakland|奥克兰(美国加利福尼亚州西部城市)
oversight|疏忽
oxidizable|可氧化的
overtone|寓意
oust|剥夺
outright|直率的
orphanage|孤儿院
oft|常常
omnipotent|全能的
overland|/ad经过陆地的
oasis|(沙漠中)绿洲
outpouring|倾泄
omission|冗长
obsess|迷住
oat|[植]燕麦
omnibus|公共汽车
occupancy|占有
orthopteran|直翅类的昆虫
overheat|使过热
occupant|占有者
obligate|使负义务 a有责任的
officeholder|官员
ordnance|军火
overexploitation|(对资源等的)过度开采
offering|提供
oblivious|没注意到
onetime|从前的
odorous|有气味的
officious|爱发号施令的
ordinal|序数的
ordeal|折磨
overact|把表演得过火
oversleep|睡过头
oratorio|清唱剧
opposed|反对的
opal|蛋白石
optimize|使最优化
obituary|讣闻
outspoken|直言不讳的
outgas|除去气
oblong|矩形的
outrageously|令人不能容忍地
ornithology|鸟类学
outrageous|残暴的
oppressive|压迫的
operant|运转中的
ordinate|纵坐标
o|interj. 啊, 唉, 哎呀, 哦
oct|十月（October）
orders|牧师职, 神职
ok|好, 不错, 可以
operating|操作的, 工作的, 营业上的, 业务的, 关于收支的, 关于损益的, 外科手术的
operations|运作；运营；业务操作（operation的复数）
offered|提供, 提议；奉献（offer过去时态）
os|骨, 孔, 穴裂口
owned|拥有；承认（own的过去分词）
objects|目标；物体（object的复数）
obtained|获得（obtain的过去分词）
offices|办公室；办事处（office的复数）
officials|行政官员( official的复数形式 )
oz|盎司（ounce）
officers|军官, 人员（officer复数形式）
ordering|有序化
outdoors|户外, 野外活动
orlando|奥兰多（美国城市名, 男子名）
objectives|目标( objective的名词复数 ); [光学]（望远镜、显微镜、照相机及其他光学仪器上的）物镜; [语法学]1)。 宾语 2)。 宾格; [军事]出击目标
op|观测所
observed|观测的；观察的
opened|打开, 开启（open过去分词形式）
offline|[计] 挂线, 脱机
oxford|牛津, 牛津大学
ordered|安排好的, 有规律的, 有条理的, 整齐的
occurred|发生（occur的过去分词）
operators|（某企业的）经营者( operator的复数形式 ); （机器、设备等的）操作员; 电话接线员; 投机取巧者
organisations|组织；团体（等于organization）
oracle|神谕, 神谕处, 预言
oriented|导向的
occurs|重现（occur的第三人称单数）
oldest|最旧的；最老的（old的最高级）
org|[计] 域名(代表组织机构)
observations|观察, 观察值；观察结果；（观察后发表的）言论（observation的复数形式）
operated|操作的
outcomes|结果( outcome的复数形式 )
opens|打开；公开赛事；旷野（open的复数形式）
orgy|无节制, 狂欢, 纵酒宴乐, 放荡
ot|加班（Overtime ）；圣经旧约（Old Testament）；职业疗法（Occupational therapy）
ottawa|渥太华
obligations|义务；债务；承付款项（obligation的复数）
outsourcing|[计] 外部资源利用
oem|[计] 原始设备制造商
omega|希腊字母的最后一个字, 终了, 最后
oo|面向对象程式设计（Object Oriented）；已订购而尚未交货的（on order）
olympus|奥林匹斯山, 天堂
outreach|超出...的范围, 作超出能力所及的事而害及自己, 占...的上风, 胜过
occasions|机会( occasion的名词复数 ); 时刻; 原因; 需要
oils|油画颜料
omaha|奥马哈市（美国内布拉斯加州）；美国奥马哈族印第安人；奥马哈
occupied|已占用的；使用中的；无空闲的
obtaining|[法] 获得, 得到
oe|（常印在账单上）遗漏不在此限（omissions excepted）；古英语（Old English）
offerings|样片；奉献（物）；供品, 供奉祖先神佛的菜等；提供之物（offering的复数形式）
operates|运转( operate的第三人称单数 ); 操作; 经营; 管理
oscar|奥斯卡金像奖, 钱, 现金
ons|奥运信息服务（Olympic News Service）；物件名称服务（Object Name Service）；一夜情（One Night Stand）
olympics|奥林匹克运动会
optics|光学
ou|开放大学（Open University）；牛津大学（Oxford University）
oops|interj. (表示惊讶、沮丧、谢罪等)哎哟
ooo|已坏
oc|[计] 操作码, 操作控制器
obituaries|讣告, 讣闻( obituary的名词复数 )
om|英国功劳勋章（Order of Merit）
outlined|画[标]出…的轮廓( outline的过去式和过去分词 ); 概述, 列提纲
organizing|[经] 组织
obj|目标文件（由编译器或汇编工具生成的, 是模块的二进制中间文件）
origins|起源（origin的复数）
organizer|组织者, 编制者, 创立者, 组织导体
oman|阿曼
occurring|事件；事故；事变
owen|欧文（男子名）
outputs|输出；产出；产量（output复数）
oecd|[经] 已开发国家组织
organised|有组织的, 组织起来的
openings|开口；开幕；走向世界；空缺（opening的复数）
occupations|占领( occupation的复数形式 ); 消遣; （土地、房屋、建筑等的）使用; 工作
ol|[医] 油
