world|世界
water|水
want|想要
work|工作
write|写
week|星期
winter|冬天
white|白色
word|单词
website|网站
window|窗户
weak|弱的
wrong|错误的
wish|愿望
worried|担心的
wise|明智的
wavelength|波长
weather|天气
wetland|湿地
washing|洗衣机
warranty|保修
wait|等待
wake|醒来
walk|行走
warn|警告
wash|清洗
waste|浪费
wear|穿戴
weigh|称重
welcome|欢迎
win|获胜
withdraw|撤回
worry|担心
warm|温暖的
wealthy|富有的
weekly|每周的
weighed|称重的
whole|整个的
wide|宽的
willing|愿意的
wonderful|精彩的
wooden|木制的
worth|值得的
worthy|有价值的
waiter|服务员
writer|作家
wolf|狼
waterfall|瀑布
wood|树林
watch|手表
wife|妻子
weekend|周末
wealth|财富
wisdom|智慧
wade|跋涉
wag|摇摆
wander|漫游
wave|挥手
weave|编织
wed|结婚
weep|哭泣
whisper|低语
whistle|吹口哨
whiten|使变白
wind|缠绕
wipe|擦
wire|接线
withstand|经受
wobble|摇摆
wonder|想知道
worship|崇拜
wound|受伤
wrap|包裹
wreck|破坏
wrestle|摔跤
wring|拧
working|工作中的
well|好
warmth|温暖
warmly|温暖地
width|宽度
widen|加宽
widely|广泛地
wisely|明智地
waitingly|等待地
walkably|可行走地
wantedly|想要地
warningly|警告地
washably|可洗地
winningly|获胜地
wishedly|希望地
wonderfully|精彩地
workingly|工作地
worriedly|担心地
writtenly|书面地
waiting|等待
walkable|可行走的
wanted|被通缉的
warning|警告
washable|可洗的
winning|获胜的
wished|希望的
writing|写作
written|书面的
witnessable|可见证的
witnessably|可见证地
weatherwise|天气方面地
witness|见证
weathered|风化的
warsaw|华沙
warsaws|华沙
warsawly|华沙地
washington|华盛顿
washingtons|华盛顿
washingtonly|华盛顿地
wellington|惠灵顿
wellingtons|惠灵顿
wellingtonly|惠灵顿地
winner|获胜者
wrestling|摔跤
weightlifting|举重
wellness|健康
workforce|劳动力
worker|工人
wifi|无线网络
wage|工资
warehouse|仓库
workshop|车间
weapon|武器
wool|羊毛
wink|使眼色
weight|重量
weaken|削弱
way|道路
wax|蜡
wardrobe|衣柜
wallet|皮夹
warrant|令状
welfare|福利
whereas|然而
wheat|小麦
wicked|邪恶的
widespread|广泛的
widow|寡妇
wit|机智
worthwhile|值得的
workplace|工作场所
wants|想要
was|是
worked|工作
wild|野生的
why|为什么
would|将
whatever|无论什么
while|当…的时候
woman|成年女子
within|在……之内
won|赢得；获得
were|是
what|什么
which|哪一个
where|在哪里
with|和…在一起
weeks|星期
websites|网站
without|没有
walking|散步
who|谁
workers|工人
women|女人
whether|是否
when|什么时候
words|单词
we|我们
ways|方式
went|去
will|将
wildfire|野火
workload|工作量
worldwide|世界范围地
wildlife|野生动物
wishful|一厢情愿的
worldly|世间的
woodpecker|啄木鸟
watchful|注意的
wrinkle|皱纹 vt. 使起皱纹
weaver|织布工
warfare|战争
waver|犹豫不决
wedge|楔 v. 楔入
web|网
watt|瓦（特）
whilst|同时
watery|充满水的
wholesome|对健康有益的
whitewash|石灰水 v. 粉饰
ware|物品
whisker|髯
waitress|女侍者
wrench|拧
wharf|码头
willow|柳树
wasteful|浪费的
wither|枯萎
whereby|靠什么
winding|蜿蜒曲折的路径 adj. 蜿蜒曲折的
whoever|究竟是谁
whale|鲸
witty|机智的
wield|挥（剑）
wasp|黄蜂
walnut|核桃
workpiece|工（作）件
windmill|风车
windy|多风的
waggon|敞蓬车厢
wretched|不幸的
watertight|不漏水的
ward|病房
woe|悲哀
wrath|暴怒
willful|故意的
withhold|vt. 拒绝
weary|vi. 厌烦
weird|古怪的
whirl|vi. 旋转
waterproof|防水的
worm|虫
wall|墙壁
worst|最差的
west|西
western|西方的
wholly|完全地
worse|更坏的
whatsoever|无论什么
wagon|货车
wedding|婚礼
whichever|任何一个
wine|酒
weed|除草
waist|腰
witch|巫婆
whisky|威士忌酒 adj. 威士忌酒的
wet|[气象][物] 潮湿的
wheel|车轮
wreath|花冠
weld|焊接
wrist|手腕
whip|抽打
weekday|平日
waken|醒
whiskey|威士忌酒
whose|谁的
whig|辉格党
warmer|使热的人
wildebeest|羚羊(其中一种)
wing|翅膀 v. 飞过
warren|养兔场
watercolor|水彩颜料
whom|谁
warbler|鸣鸟
workweek|一星期工作时间
westward|西方a&ad西方的
wherever|无论在哪里 adv. 无论什么地方
wartime|战时
wilderness|荒野
woodcut|木刻
worksheet|工作记录表
wale|条痕
waterway|水路
woody|多树木的
warrior|勇士
weakness|虚弱
whenever|无论何时
watercraft|船只
waterpower|水力(水力发电)
wallpaper|墙纸
warp|弯曲
woolen|毛线的 n. 毛制品
woodworker|木工
workday|工作日
withdrawal|收回
westerner|美国之西部的人
wholesale|批发 adj. 大规模的
worshipper|礼拜者
watercourses|水流
wary|机警的
worsen|恶化
waterfront|水边地码头区
wispy|纤细的
whittle|切
wingspan|[空]翼展
walrus|[动]海象
weightlessness|无重状态
welland|韦兰（加拿大东南部港口城市）
weft|[纺]织物
wren|[动] 鹪鹩
weldon|韦尔登（男子名）
wan|苍白的
waterfowl|水鸟
walker|徒步者
wireless|无线的 n. 无线
watershed|分水岭
woodwind|木管乐器
whence|从何处
willingness|乐意
wad|填料 vt填塞
weakly|虚弱地
wand|魔杖
welt|鞭痕
wintertime|冬
waling|横撑
windswept|风刮的
workmanship|手艺
woad|[植]菘蓝
watcher|监票员
waster|挥霍者
wildcatter|投机份子
waxes|蜡
wick|蜡烛心
wicker|柳条 a柳条制的
wildflower|野花
womanhood|女人
writhe|翻滚
willingly|自动地
weightily|沉重地
weedy|杂草多的
wee|很少的
worthiness|价值
workable|可经营的
wirephoto|有线传真
wok|锅
wingless|无翼的
wrapper|包装材料
woodblock|木板 〈印〉木版
waterworks|自来水厂
washingtonian|/a(美国)华盛顿市(或州)人
waxy|象蜡的
wearer|穿用者
waterborne|水上的
wearability|耐磨性
wholesaler|批发商
woodcarving|木雕
woodlot|植林地(尤指附属林场地)
woodworking|木工艺
wavy|波状的
waterside|n& adj. 水边(的)
woodcutting|木雕的 n. 伐木
wanderer|流浪者
wold|无树木的山地
whim|一时的兴致
wretch|不幸的人
wanna|想要
wintry|冬天的
waggle|摆动
well-heeled|富有的
wane|衰退
weathering|侵蚀
watercourse|水道
wedge-shaped|楔形的
w|[计] 等待, 写, 字
windows|微软公司生产的“视窗”操作系统
war|战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
works|工程, 工厂, 工事, 活动部件, 机件, 著作, 作品, 善行, 德行
wednesday|星期三
william|威廉（男子名）；[常作W-][美俚]钞票, 纸币
wrote|write的过去式
watches|手表（watch的复数）
www|[计] 全球信息网, WWW浏览器
williams|威廉姆斯（男子名）
wa|华盛顿州（Washington State）；担保单独海损（with average）
wi|熟铁（Wrought Iron）；妇女协会（Women 's Institute）；西印度群岛（West Indies）
wisconsin|威斯康星
wales|威尔士
wars|战争（war的复数形式）
webmaster|网络管理员
wilson|威尔逊（姓氏）
weblog|网络日志
weapons|武装切换；斗争工具；武器（weapon的复数）
watching|观看, 守望；监视, 注意（watch现在分词）
wikipedia|维基百科（一个基于wiki技术的多语言的百科全书协作计划, 也是一部用不同语言写成的网络百科全书, 其目标及宗旨是为全人类提供自由的百科全书）；开放性的百科全书
wow|interj. (非正式)哇
writers|作家；作者（writer的复数）
wheels|旋转；车轮（wheel的复数）
womens|woman的变形；woman 的复数
wyoming|怀俄明
workshops|专题讨论会( workshop的名词复数 ); 车间; 工作坊; 研究会
wayne|韦恩（男子名）
wings|舞台两侧, 侧景
waters|大片的水, 领海, 近海, 海域, 江水, 湖水, 河水, 矿泉水
wallpapers|壁纸, 墙纸( wallpaper的名词复数 )
winners|成功者（winner的复数）
wiki|维基百科（网站名）
walls|墙壁；墙体（wall的复数）
woods|森林, 树林
wins|视窗网际网路名称服务（Windows Internet Name Server）
writes|写( write的第三人称单数 ); 写信
wells|威尔斯（姓氏）
wishlist|意愿清单
wv|工作电压（Working Voltage）；西弗吉尼亚（West Virginia）
wright|制作者, 工人
webcam|网络摄像头
winds|风( wind的名词复数 ); 呼吸; （随食物或饮料）吞下的气; （管弦乐团的）管乐器
wearing|穿用的, 使疲惫的, 磨损的
walter|沃尔特（男子名）
warner|警告者, 告诫者, 预告者
wizard|男巫, 术士, 奇才
weddings|婚礼（wedding的复数形式）
waves|波（wave的复数形式）
walked|走路；散步（walk的过去分词）
worlds|世界( world的复数形式 ); 人世; 世间; 尘世
watched|注视, 注意（watch的过去式与过去分词形式）
wishes|（书信或贺卡等中的）祝愿( wish的名词复数 ); 渴望; 希望的事; 许愿
weekends|在每周末
wondering|觉得奇怪的, 疑惑的
ws|[计] 工作区, 工作存储器, 工作站
wordpress|博客系统（软件名）
wines|葡萄酒；令人沉醉的东西（wine的复数）
wages|工资, 报酬, 薪金, 工钱, 报应, 报答, 年产额
wallace|华莱士（男子名）
widescreen|宽银幕
webster|韦伯斯特（姓氏或男子名）
warnings|发出警告( warning的复数形式 ); 征候; <古>（解雇、辞职等的）预先通知; 可引以为戒的事（或人）
wired|以金属丝加强的, 接有电线的, 以铁丝围起的
wy|美国怀俄明州邮递区号（Wyoming）
watson|[计] 沃森
wider|宽的；广阔的（wide的比较级形式）
wal|预写式日志（Write-Ahead Logging）
windsor|温莎（地名, 伦敦西方的城市）
warranties|担保；特约条款（warranty的复数）
walks|搭板, 跳板
wichita|威奇托（美国堪萨斯州城市）
wanting|欠缺的, 不足的, 不够格的
watts|瓦特（功率单位）
witnesses|目击者( witness的名词复数 ); 证词; 见证（以言行证实信仰）; 见证人
welsh|威尔士的
wp|[计] 字处理, 工作区指示字
worn|用旧的, 穿旧的
warming|暖和, 加温, 暖热, 温暖, (非正式)打, 鞭打
wrapping|用于包裹的材料
wav|声音资源文件；音频文件格式
winston|温斯顿（姓氏, 男子名）
wang|王（姓氏）；王安电脑公司
weights|重量；砝码（weight的复数）
webcams|网络摄像机，网络摄影机( webcam的名词复数 )
webmasters|网站管理员
walt|沃尔特（人名）
warriors|武士, 勇士, 战士( warrior的复数形式 )
wm|水表（water flowmeter）；威廉（William）
warcraft|军用飞机, 军舰, 战略和战术, 兵法
weighted|偏向的, 偏重的, 有利的
wb|世界银行
wives|妻
wn|绞盘（winch）；营养良好的（well nourished）；西尼罗河（West Nile）；波数（wave number）
wiring|线路, 接线
webpage|网页
wendy|温迪（女子名）
wrapped|有包装的
wt|[计] 字终端, 预查
writings|作品, 篇章（writing的复数形式）
workstation|工作站
wto|[计] 给操作员送信息
ww|栈单（Warehouse Warrant）
waiver|放弃, 弃权, 弃权声明书
wesley|韦斯利（男子名）
wc|厕所
worcester|伍斯特(①姓氏 ②英国城市 ③美国城市)
washer|洗衣人, 垫圈, 洗衣机
workout|试验, 试用, 锻炼
welding|焊的
wr|[计] 写入
wires|电线；线变形器（wire的复数）；小五金；网格
wx|女式特大号（women's extra large size）
