sun|太阳
star|星星
school|学校
student|学生
sad|悲伤的
small|小的
see|看
speak|说
sleep|睡觉
sport|运动
spring|春天
summer|夏天
six|六
seven|七
sentence|句子
sorry|对不起
street|街道
sea|海
store|商店
station|车站
ship|船
sell|销售
shop|商店
shopping|购物
service|服务
size|尺寸
shape|形状
smartphone|智能手机
software|软件
science|科学
sick|生病的
sleepy|困的
strong|强壮的
slow|慢的
simple|简单的
safe|安全的
start|开始
stop|停止
success|成功
study|学习
score|分数
skill|技能
story|故事
smile|微笑
surprised|惊讶的
shy|害羞的
smart|聪明的
stupid|愚蠢的
species|物种
synthesis|合成
sustainable|可持续的
server|服务器
security|安全
settings|设置
switch|开关
socket|插座
shelf|架子
soap|肥皂
shampoo|洗发水
symptom|症状
surgery|手术
stomach|胃
sugar|血糖
subway|地铁
schedule|时间表
supermarket|超市
sale|促销
subject|科目
scholarship|奖学金
semester|学期
sacrifice|牺牲
satisfy|满足
save|拯救
scare|使害怕
search|搜索
select|选择
send|发送
separate|分开
serve|服务
settle|解决
share|分享
shock|使震惊
shoot|射击
shout|喊叫
show|展示
shut|关闭
sign|签名
signal|发信号
sing|唱歌
sink|下沉
sit|坐
slide|滑动
smell|闻
solve|解决
sort|分类
specify|指定
spend|花费
spill|溢出
split|分裂
spread|传播
stand|站立
stay|停留
steal|偷窃
stick|粘贴
stretch|伸展
succeed|成功
suggest|建议
suit|适合
supply|供应
support|支持
suppose|假设
surprise|使惊讶
surround|包围
survive|生存
suspect|怀疑
swim|游泳
satisfied|满意的
scared|害怕的
scientific|科学的
secondary|次要的
secure|安全的
selfish|自私的
senior|高级的
sensitive|敏感的
serious|严肃的
several|几个的
severe|严重的
sexual|性的
sharp|锋利的
short|短的
silent|沉默的
similar|相似的
sincere|真诚的
single|单一的
skeptical|怀疑的
skilled|熟练的
slight|轻微的
smooth|光滑的
social|社会的
soft|软的
solar|太阳的
sole|唯一的
solid|固体的
sophisticated|复杂的
sound|健康的
southern|南方的
spare|多余的
special|特殊的
specific|具体的
spectacular|壮观的
spiritual|精神的
splendid|辉煌的
spontaneous|自发的
stable|稳定的
standard|标准的
static|静态的
steady|稳定的
steep|陡峭的
stiff|僵硬的
straight|直的
strange|奇怪的
strict|严格的
structural|结构的
successful|成功的
such|这样的
sudden|突然的
sufficient|足够的
suitable|合适的
superior|优越的
sure|确定的
surprising|令人惊讶的
surviving|幸存的
suspected|被怀疑的
sweet|甜的
swift|迅速的
swollen|肿胀的
symbolic|象征的
systematic|系统的
sailor|水手
scientist|科学家
secretary|秘书
singer|歌手
soldier|士兵
surgeon|外科医生
salad|沙拉
sandwich|三明治
sauce|酱料
sausage|香肠
seed|种子
soup|汤
spice|香料
steak|牛排
strawberry|草莓
sheep|羊
snake|蛇
spider|蜘蛛
sky|天空
scarf|围巾
shirt|衬衫
shoes|鞋子
skirt|裙子
socks|袜子
shoulder|肩膀
sister|姐妹
son|儿子
season|季节
safety|安全
satisfaction|满足
sack|解雇
sail|航行
saw|锯
scatter|散布
scent|发出气味
scold|责骂
scorch|烧焦
scrape|刮擦
scratch|抓
scream|尖叫
screen|筛选
screw|拧紧
scribble|潦草书写
scrub|擦洗
sculpt|雕塑
seal|密封
secrete|分泌
section|分割
seek|寻找
seem|似乎
seize|抓住
sense|感知
set|设置
sever|切断
sew|缝纫
shade|遮蔽
shake|摇动
shall|将要
shallow|浅的
sharpen|磨利
shatter|粉碎
shave|剃须
shear|剪切
shed|脱落
shelter|庇护
shield|保护
shine|发光
shiver|颤抖
shorten|缩短
shove|推挤
shrink|收缩
shrug|耸肩
sicken|使生病
sidestep|回避
sigh|叹息
signify|表示
silence|使安静
silly|愚蠢的
simplify|简化
simulate|模拟
sketch|素描
ski|滑雪
skip|跳过
slack|松懈
slam|猛击
slap|拍打
slash|砍
slaughter|屠宰
slave|奴役
slim|变瘦
slip|滑倒
smash|粉碎
smoke|吸烟
snack|吃零食
snap|折断
snatch|抢夺
sneak|潜行
sneeze|打喷嚏
sniff|嗅
snore|打鼾
snow|下雪
soak|浸泡
soar|翱翔
sob|抽泣
soften|软化
soil|弄脏
solarise|日晒
solidify|固化
solace|安慰
soothe|抚慰
sow|播种
spark|激发
specialise|专攻
speed|加速
spell|拼写
spin|旋转
spoil|溺爱
sponge|海绵擦拭
sponsor|赞助
spray|喷洒
sprout|发芽
squash|挤压
squeak|吱吱叫
squeeze|挤压
stab|刺
stabilise|稳定
stack|堆叠
stagger|蹒跚
stain|染色
stake|下注
stall|拖延
stare|凝视
starve|挨饿
steam|蒸
steer|驾驶
stem|阻止
step|步骤
stimulate|刺激
sting|叮咬
stink|发臭
stir|搅拌
stitch|缝合
stock|储存
stoop|弯腰
stow|装载
straighten|弄直
strain|拉紧
strangle|扼杀
stream|流
stride|大步走
strike|打击
string|串起
strip|剥去
strive|努力
stroke|抚摸
struggle|挣扎
stuff|填塞
stumble|绊倒
stun|使震惊
subdivide|再分
submit|提交
submerge|淹没
subscribe|订阅
substitute|替代
subtract|减去
suck|吸
suffer|遭受
summon|召唤
sunder|分裂
supervise|监督
supplant|取代
supplement|补充
suppress|压制
supreme|至高无上
surf|冲浪
surge|汹涌
surrender|投降
suspend|暂停
sustain|维持
swallow|吞咽
swamp|淹没
swear|发誓
sweat|出汗
sweep|扫除
swell|肿胀
swing|摇摆
symbolise|象征
sympathise|同情
synthesize|合成
systematise|系统化
sodium|元素周期表的第11个，鈉，缩写Na
silicon|元素周期表的第14个，硅，缩写Si
sulfur|元素周期表的第16个，硫，缩写S，也可写为sulphur
scandium|元素周期表的第21个，鈧，缩写Sc
selenium|元素周期表的第34个，硒，缩写Se
strontium|元素周期表的第38个，鍶，缩写Sr
silver|元素周期表的第47个，銀，缩写Ag
samarium|元素周期表的第62个，釤，缩写Sm
seaborgium|元素周期表的第106个，𨭎，缩写Sg
successfully|成功地
strength|力量
strengthen|加强
strongly|强烈地
shortness|简短
shortly|不久
simplicity|简单
simply|简单地
slowness|缓慢
slowly|缓慢地
softness|柔软
softly|柔软地
safeguard|保护
safely|安全地
satisfactory|满意的
satisfactorily|满意地
savingly|节约地
saying|谚语
said|说过的
saidly|遗憾地
scientificness|科学性
sight|视力
selection|选择
selective|选择的
selectively|选择地
sensible|明智的
sensibly|明智地
serviceable|有用的
serviceably|有用地
sharedly|共享地
shiny|闪亮的
shinily|闪亮地
shocking|令人震惊的
shockingly|令人震惊地
sung|唱过的
sungly|歌唱地
sleepily|困倦地
smilingly|微笑地
spokenly|口语地
spendable|可花费的
spendably|可花费地
sporty|运动的
sportily|运动地
sportiness|运动性
starry|星光的
starrily|星光地
studious|勤奋的
studiously|勤奋地
sufferable|可忍受的
sufferably|可忍受地
suggestion|建议
suggestive|暗示的
suggestively|暗示地
supportively|支持地
surprisingly|令人惊讶地
survival|生存
survivable|可生存的
survivably|可生存地
swimmingly|顺利地
saving|节约
say|说
scientifically|科学地
shared|共享的
song|歌曲
smiling|微笑的
speech|演讲
spoken|口语的
spending|花费
suffering|痛苦
supportive|支持的
swimming|游泳
system|系统
systematically|系统地
systematize|系统化
surgical|外科的
surgically|外科地
sustainability|可持续性
sustainably|可持续地
stressful|有压力的
stressfully|有压力地
stress|压力
specifically|特定地
symbiosis|共生
symbioses|共生
symbiotic|共生的
symbiotically|共生地
synthetic|合成的
synthetically|合成地
saproxylic|腐木的
saproxylics|腐木生物
saproxylically|腐木地
saprotrophic|腐生营养的
saprotrophs|腐生营养生物
saprotrophically|腐生营养地
sucrose|蔗糖
sucroses|蔗糖
sucrosic|蔗糖的
sucrosically|蔗糖地
starch|淀粉
starches|淀粉
starchy|淀粉的
starchily|淀粉地
spain|西班牙
spains|西班牙
spanish|西班牙的
spanishly|西班牙地
singapore|新加坡
singapores|新加坡
singaporean|新加坡的
singaporeanly|新加坡地
sri|斯里
sris|斯里
srily|斯里地
saudi|沙特
saudis|沙特
saudily|沙特地
syria|叙利亚
syrias|叙利亚
syrian|叙利亚的
syrianly|叙利亚地
south|南
souths|南
southernly|南方的地
sudan|苏丹
sudans|苏丹
sudanese|苏丹的
sudanesely|苏丹地
switzerland|瑞士
switzerlands|瑞士
swiss|瑞士的
swissly|瑞士地
sweden|瑞典
swedens|瑞典
swedish|瑞典的
swedishly|瑞典地
samoa|萨摩亚
samoas|萨摩亚
samoan|萨摩亚的
samoanly|萨摩亚地
solomon|所罗门
solomons|所罗门
solomonic|所罗门的
solomonically|所罗门地
shanghai|上海
shanghais|上海
shanghailly|上海地
seoul|首尔
seouls|首尔
seouly|首尔地
stockholm|斯德哥尔摩
stockholms|斯德哥尔摩
stockholmly|斯德哥尔摩地
san|圣
sanly|圣地
seattle|西雅图
seattles|西雅图
seattlely|西雅图地
sydney|悉尼
sydneys|悉尼
sydneyly|悉尼地
suva|苏瓦
suvas|苏瓦
suvan|苏瓦的
suvanly|苏瓦地
strategy|战略
startup|创业公司
statistics|统计
spreadsheet|电子表格
structure|结构
subsidiary|子公司
signature|签名
statute|法规
settlement|和解
subconscious|潜意识
