phone|手机
play|玩
please|请
page|页面
park|公园
plane|飞机
price|价格
product|产品
paper|纸
pen|笔
pencil|铅笔
photo|照片
picture|图片
physics|物理
patient|病人
pain|疼痛
possible|可能的
previous|上一个
practice|练习
prize|奖品
party|派对
plan|计划
past|过去
present|现在
progress|进步
proud|骄傲的
polite|礼貌的
protein|蛋白质
photosynthesis|光合作用
physiology|生理学
pathogen|病原体
pressure|压力
pollution|污染
program|程序
programming|编程
password|密码
profile|个人资料
prevention|预防
parking|停车
passport|护照
payment|支付
purchase|购买
professor|教授
project|项目
pack|打包
paint|绘画
participate|参与
pass|通过
pay|支付
perform|表演
permit|允许
persuade|说服
pick|挑选
point|指向
possess|拥有
postpone|推迟
praise|表扬
pray|祈祷
predict|预测
prepare|准备
preserve|保护
press|按
prevent|预防
produce|生产
promise|承诺
protect|保护
prove|证明
provide|提供
pull|拉
push|推
painful|痛苦的
pale|苍白的
parallel|平行的
parental|父母的
partial|部分的
particular|特殊的
passionate|热情的
passive|被动的
peaceful|和平的
perfect|完美的
personal|个人的
physical|物理的
plain|朴素的
plastic|塑料的
pleasant|愉快的
pleased|高兴的
plenty|大量的
plus|正的
poor|贫穷的
popular|受欢迎的
positive|积极的
potential|潜在的
practical|实用的
precious|珍贵的
precise|精确的
prepared|准备好的
pretty|漂亮的
primary|主要的
prime|主要的
principal|主要的
prior|优先的
private|私人的
probable|可能的
professional|专业的
profound|深刻的
progressive|进步的
prominent|突出的
proper|适当的
prospective|预期的
public|公共的
pure|纯粹的
purple|紫色的
puzzled|困惑的
painter|画家
pharmacist|药剂师
photographer|摄影师
pilot|飞行员
plumber|水管工
police|警察
politician|政治家
pasta|意大利面
peach|桃子
pear|梨
pepper|胡椒
pizza|披萨
potato|土豆
panda|熊猫
parrot|鹦鹉
penguin|企鹅
pig|猪
pharmacy|药店
post|邮局
prison|监狱
pillow|枕头
parent|父母
peace|和平
pleasure|快乐
power|权力
problem|问题
paddle|划桨
pair|配对
pamper|溺爱
pant|喘气
parade|游行
paralyse|使瘫痪
parameter|参数
part|分离
partner|合伙
paste|粘贴
pat|轻拍
patch|修补
pause|暂停
peck|啄
pedal|踩踏板
peel|剥皮
peep|偷看
penetrate|渗透
perceive|感知
perish|灭亡
persevere|坚持
persist|坚持
personify|拟人化
pertain|关于
pierce|刺穿
pinch|捏
pine|渴望
place|放置
plant|种植
plead|恳求
pledge|保证
plunge|投入
poke|戳
polarise|极化
polish|抛光
pop|弹出
pounce|猛扑
practise|练习
preach|布道
precede|先于
precipitate|促成
prefer|偏爱
prescribe|开处方
preside|主持
pretend|假装
prick|刺
print|打印
prioritise|优先处理
probe|探查
proceed|继续
process|处理
procure|获得
profess|声称
programme|编程
prohibit|禁止
promote|促进
prompt|提示
propel|推动
prophesy|预言
propose|提议
prosecute|起诉
protest|抗议
provoke|挑衅
publicise|宣传
pump|泵送
punch|拳击
puncture|刺穿
punish|惩罚
pursue|追求
put|放
puzzle|困惑
phosphorus|元素周期表的第15个，磷，缩写P
potassium|元素周期表的第19个，鉀，缩写K
palladium|元素周期表的第46个，鈀，缩写Pd
praseodymium|元素周期表的第59个，鐠，缩写Pr
promethium|元素周期表的第61个，鉕，缩写Pm
platinum|元素周期表的第78个，鉑，缩写Pt
polonium|元素周期表的第84个，釙，缩写Po
protactinium|元素周期表的第91个，鏷，缩写Pa
plutonium|元素周期表的第94个，鈽，缩写Pu
possibility|可能性
possibly|可能地
payable|可支付的
payably|可支付地
peacefully|和平地
peacefulness|和平
pleasing|令人愉快的
pleasingly|令人愉快地
pleasance|愉快
powerful|强大的
powerfully|强大地
powerfulness|强大
praiseworthy|值得赞扬的
praiseworthily|值得赞扬地
prediction|预测
predictable|可预测的
predictably|可预测地
preparation|准备
preparedly|准备好地
presentation|展示
presently|目前
preventive|预防的
preventively|预防地
production|生产
productive|生产的
productively|生产地
protection|保护
protective|保护的
protectively|保护地
proof|证明
proven|已证明的
provably|可证明地
punishment|惩罚
punishable|可惩罚的
punishably|可惩罚地
pursuit|追求
pursuant|依据的
pursuantly|依据地
philosophy|哲学
philosophical|哲学的
philosophically|哲学地
philosophize|哲学思考
profit|利润
profitable|有利可图的
profitably|有利可图地
programmable|可编程的
programmably|可编程地
pharmaceutical|制药的
pharmaceutically|制药地
pharmacize|用药
paintable|可绘制的
paintably|可绘制地
poetic|诗歌的
poetically|诗歌地
poetize|使诗歌化
pollutive|污染的
pollutively|污染地
psychological|心理的
psychologically|心理地
psychologize|心理分析
poetry|诗歌
psychology|心理学
pollute|污染
proteins|蛋白质
proteinaceous|蛋白质的
proteinaciously|蛋白质地
photosyntheses|光合作用
photosynthetic|光合作用的
photosynthetically|光合作用地
parasite|寄生虫
parasites|寄生虫
parasitic|寄生的
parasitically|寄生地
predator|捕食者
predators|捕食者
predatory|捕食的
predatorily|捕食地
prey|猎物
preyful|猎物的
preyfully|猎物地
pollinate|授粉
pollination|授粉
pollinating|授粉的
pollinatingly|授粉地
proliferate|增殖
proliferation|增殖
proliferative|增殖的
proliferatively|增殖地
pathogens|病原体
pathogenic|病原的
pathogenically|病原地
protozoa|原生动物
protozoan|原生动物
protozoal|原生动物的
protozoally|原生动物地
piscivorous|食鱼的
piscivores|食鱼动物
piscivorously|食鱼地
preservation|保存
preservations|保存
preservational|保存的
preservationally|保存地
pollutions|污染
pollutional|污染的
pollutionally|污染地
population|种群
populations|种群
populationally|种群地
phototrophic|光能营养的
phototrophs|光能营养生物
phototrophically|光能营养地
phytoremediation|植物修复
phytoremediations|植物修复
phytoremediational|植物修复的
phytoremediationally|植物修复地
polysaccharide|多糖
polysaccharides|多糖
polysaccharidic|多糖的
polysaccharidically|多糖地
philippines|菲律宾
pakistan|巴基斯坦
pakistans|巴基斯坦
pakistani|巴基斯坦的
pakistanily|巴基斯坦地
palestine|巴勒斯坦
palestines|巴勒斯坦
palestinian|巴勒斯坦的
palestinianly|巴勒斯坦地
poland|波兰
polands|波兰
polishly|波兰地
portugal|葡萄牙
portugals|葡萄牙
portuguese|葡萄牙的
portuguesely|葡萄牙地
papua|巴布亚
papuas|巴布亚
papuan|巴布亚的
papuanly|巴布亚地
palau|帕劳
palaus|帕劳
palauan|帕劳的
palauanly|帕劳地
phnom|金
phnoms|金
phnomly|金地
penh|边
penhs|边
penhly|边地
paris|巴黎
parisian|巴黎的
parisianly|巴黎地
port|港
ports|港
portly|港地
partnership|合伙
productivity|生产力
portfolio|投资组合
policy|政策
procedure|程序
proposal|提案
principle|原则
patent|专利
property|财产
penalty|处罚
perception|感知
personality|人格
perspective|观点
psychologist|心理学家
psychiatrist|精神科医生
phobia|恐惧症
purpose|目的
patience|耐心
painting|绘画
portrait|肖像
photography|摄影
piano|钢琴
performance|表演
props|道具
producer|制片人
poem|诗
prose|散文
plot|情节
player|球员
position|位置
pool|游泳池
plate|本垒
poker|扑克
perseverance|毅力
physiological|生理学的
planning|规划
perfection|完美
probability|概率
personnel|人员
participant|参与者
person|人
period|时期
