internet|互联网
island|岛屿
important|重要的
interesting|有趣的
impossible|不可能的
improve|改善
information|信息
impatient|不耐烦的
immune|免疫的
interface|界面
intelligence|智能
install|安装
iron|熨斗
infection|感染
inflammation|炎症
identify|识别
ignore|忽略
imagine|想象
impress|给...印象
include|包括
increase|增加
influence|影响
inform|通知
injure|伤害
insert|插入
insist|坚持
inspect|检查
inspire|激励
intend|打算
interest|使感兴趣
interfere|干涉
interview|面试
introduce|介绍
invent|发明
investigate|调查
invite|邀请
involve|涉及
ideal|理想的
identical|相同的
ill|生病的
illegal|非法的
immediate|立即的
impressed|印象深刻的
improper|不当的
improved|改进的
inadequate|不足的
inclined|倾向于
incomplete|不完整的
independent|独立的
indirect|间接的
individual|个人的
indoor|室内的
industrial|工业的
inevitable|不可避免的
infant|婴儿的
influential|有影响力的
informal|非正式的
initial|最初的
injured|受伤的
inner|内在的
innocent|无辜的
insect|昆虫的
inside|内部的
insufficient|不足的
intact|完整的
integral|完整的
intellectual|智力的
intelligent|聪明的
intense|强烈的
interested|感兴趣的
intermediate|中级的
internal|内部的
international|国际的
interruption|中断的
intimate|亲密的
introduced|被介绍的
invisible|看不见的
involved|涉及的
irregular|不规则的
isolated|孤立的
italian|意大利的
idea|想法
illuminate|照亮
illustrate|说明
imitate|模仿
immerse|沉浸
impact|影响
implement|实施
imply|暗示
import|进口
impose|强加
imprison|监禁
impulse|冲动
incline|倾向于
income|收入
incorporate|合并
indicate|表明
induce|诱导
indulge|沉溺
industrialise|工业化
infect|感染
infer|推断
infuse|注入
inflict|施加
inhabit|居住
inherit|继承
inhibit|抑制
inject|注射
inquire|询问
instruct|指导
insult|侮辱
insure|保险
integrate|整合
intensify|加剧
interject|插话
internalise|内化
interpret|解释
interrupt|中断
intersect|相交
intervene|干预
intrude|侵入
invade|入侵
invest|投资
irradiate|辐照
irrigate|灌溉
irritate|激怒
isolate|隔离
issue|发布
itch|痒
indium|元素周期表的第49个，銦，缩写In
iodine|元素周期表的第53个，碘，缩写I
iridium|元素周期表的第77个，銥，缩写Ir
importance|重要性
importantly|重要地
interestingly|有趣地
imagination|想象力
imaginative|想象的
imaginatively|想象地
improvement|改进
improvedly|改进地
informative|信息的
informatively|信息地
invention|发明
inventive|发明的
inventively|发明地
investment|投资
investable|可投资的
investably|可投资地
industry|工业
industrially|工业地
industrialize|工业化
innocently|无辜地
innocence|无辜
immunity|免疫
immunities|免疫
insectivorous|食虫的
insectivores|食虫动物
insectivorously|食虫地
invasive|入侵的
invasives|入侵物种
invasively|入侵地
italy|意大利
italies|意大利
italianly|意大利地
india|印度
indias|印度
indian|印度的
indianly|印度地
indonesia|印度尼西亚
indonesias|印度尼西亚
indonesian|印度尼西亚的
indonesianly|印度尼西亚地
iran|伊朗
irans|伊朗
iranian|伊朗的
iranianly|伊朗地
iraq|伊拉克
iraqs|伊拉克
iraqi|伊拉克的
iraqily|伊拉克地
israel|以色列
israels|以色列
israeli|以色列的
israelily|以色列地
ireland|爱尔兰
irelands|爱尔兰
irish|爱尔兰的
irishly|爱尔兰地
iceland|冰岛
icelands|冰岛
icelandic|冰岛的
icelandicly|冰岛地
islands|群岛
islandic|群岛的
islandicly|群岛地
islamabad|伊斯兰堡
islamabads|伊斯兰堡
islamabadly|伊斯兰堡地
institution|机构
inflation|通货膨胀
insurance|保险
innovation|创新
integrity|诚信
instinct|本能
intuition|直觉
insecurity|不安全感
identity|身份
inspiration|灵感
impressionism|印象派
image|图像
instrument|乐器
interpretation|解读
injury|受伤
idol|偶像
infrastructure|基础设施
implementation|实施
initiative|倡议
intention|意图
intensity|强度
ideology|意识形态
introspection|内省
inexperienced|无经验的
instructor|教练
innovator|创新者
inventor|发明家
icon|偶像
implication|影响
invoice|发票
immigrant|移民
invitation|邀请
initiate|发起
iris|虹膜
instance|实例
interior|内部
injection|注射
imported|进口的
inland|内陆的
intersection|交叉口
ink|墨水
insomnia|失眠
insight|洞察力
ignorant|无知的
immense|巨大的
incident|事件
incredible|难以置信的
incur|招致
index|索引
ingredient|成分
input|输入
inquiry|调查
institute|研究所
interact|互动
interval|间隔
item|项目
improving|改善
in|在…内
individuals|个人
increasing|越来越多的
ideas|想法
innovative|创新的
is|是
into|进入
