book|书
bird|鸟
bad|坏的
big|大的
bread|面包
blue|蓝色
black|黑色
button|按钮
bed|床
bathroom|浴室
beach|海滩
bus|公交车
bicycle|自行车
buy|购买
biology|生物学
beautiful|美丽的
boring|无聊的
begin|开始
birth|出生
brave|勇敢的
bacteria|细菌
biodiversity|生物多样性
botany|植物学
breakfast|早餐
bedroom|卧室
battery|电池
broom|扫帚
brain|大脑
bone|骨头
blood|血液
bridge|桥
brand|品牌
balance|平衡
ban|禁止
beat|打败
become|变成
believe|相信
belong|属于
blame|责备
borrow|借
bother|打扰
break|打破
bring|带来
build|建造
burn|燃烧
basic|基本的
beneficial|有益的
best|最好的
better|更好的
bitter|苦的
blind|盲的
bored|无聊的
born|出生的
both|两者的
bright|明亮的
broad|宽阔的
brown|棕色的
busy|忙碌的
baker|面包师
barber|理发师
butcher|屠夫
bacon|培根
bagel|百吉饼
banana|香蕉
barbecue|烧烤
biscuit|饼干
butter|黄油
bear|熊
bee|蜜蜂
butterfly|蝴蝶
bank|银行
boat|小船
bag|包
blanket|毯子
bottle|瓶子
box|盒子
belt|腰带
boots|靴子
back|背部
brother|兄弟
beauty|美丽
belief|信念
bravery|勇敢
bang|猛敲
bare|暴露
bargain|讨价还价
bark|吠叫
base|基于
bathe|洗澡
battle|战斗
be|是
beam|发光
behave|表现
bend|弯曲
benefit|受益
bet|打赌
bid|出价
bind|捆绑
bite|咬
blast|爆炸
bleed|流血
blend|混合
bless|祝福
blink|眨眼
block|阻塞
blow|吹
blur|模糊
boast|吹嘘
boil|煮沸
bomb|轰炸
bounce|弹跳
bound|跳跃
bow|鞠躬
brake|刹车
branch|分支
breath|呼吸
breed|繁殖
brew|酿造
bribe|贿赂
brief|简报
brighten|使明亮
broadcast|广播
broaden|拓宽
burst|爆发
bury|埋葬
badge|徽章
badminton|羽毛球
baggage|行李
bakery|面包店
balcony|阳台
bald|秃头的
ballet|芭蕾舞
balloon|气球
ballot|选票
bamboo|竹子
bandage|绷带
banquet|宴会
barely|几乎不
barrel|桶
barrier|障碍
basis|基础
bay|海湾
bean|豆子
beard|胡须
beast|野兽
beggar|乞丐
behalf|代表
belly|腹部
besides|此外
betray|背叛
between|在...之间
beyond|超出
billion|十亿
